capture_event_id,split,site_id,datetime,longitude,latitude,environment_feature_status,chirps_monthly_mm,chirps_source_file,jrc_water_occurrence_pct,jrc_water_seasonality_months,jrc_water_extent_class,month,modis_composite_count,modis_first_calendar_date,modis_latest_calendar_date,modis_ndvi_mean,modis_ndvi_median,modis_ndvi_min,modis_ndvi_max,modis_evi_mean,modis_evi_median,modis_evi_min,modis_evi_max,modis_blue_reflectance_mean,modis_red_reflectance_mean,modis_nir_reflectance_mean,modis_mir_reflectance_mean,modis_pixel_reliability_mean,modis_pixel_reliability_best,modis_vi_quality_mode,modis_full_available,modis_ndvi_seed,modis_evi_seed,modis_seed_available
ASG0000f2x,demo_stream,P10,2010-10-18T13:27:16,35.039294416486804,-2.5792363354599663,ok,14.671015739440918,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3437,0.3437,0.3437,0.3437,0.1789,0.1789,0.1789,0.1789,0.0503,0.0945,0.1935,0.1734,0.0,0.0,2116,True,,,False
ASG0000fbp,demo_stream,Q11,2010-09-27T12:15:14,35.0559924762818,-2.5926085479446948,ok,10.644478797912598,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.32035,0.32035,0.289,0.3517,0.1931,0.1931,0.19,0.1962,0.0670999999999999,0.1255,0.2408,0.20285,0.0,0.0,2116,True,,,False
ASG0000fip,demo_stream,Q12,2010-09-24T17:26:02,35.05472097289521,-2.6124201204482884,ok,12.610762596130371,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.25985,0.25985,0.2552,0.2645,0.1426,0.1426,0.1381,0.1471,0.06155,0.1168,0.19885,0.19485,0.0,0.0,2116,True,,,False
ASG0000gat,demo_stream,R10,2010-09-25T07:16:38,35.07490769251569,-2.570526076385274,ok,10.644478797912598,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.29255,0.29255,0.2727,0.3124,0.20465,0.20465,0.1904,0.2189,0.08415,0.16185,0.29585,0.2643,0.0,0.0,2116,True,,,False
ASG0000gjn,demo_stream,R10,2010-10-03T15:45:26,35.07490769251569,-2.570526076385274,ok,10.294229507446289,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2663,0.2663,0.2663,0.2663,0.149,0.149,0.149,0.149,0.0614,0.1212,0.2092,0.1942,0.0,0.0,2116,True,,,False
ASG0000gqa,demo_stream,R11,2010-09-30T13:30:26,35.07661315678785,-2.591091981325765,ok,10.644478797912598,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.2872,0.2872,0.2761,0.2983,0.1546,0.1546,0.1466,0.1626,0.05795,0.108,0.1952,0.1915,0.0,0.0,2116,True,,,False
ASG0000hvo,demo_stream,D13,2010-09-10T02:35:46,34.79401410037378,-2.633972146098855,ok,34.2302360534668,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.2655,0.2655,0.2523,0.2787,0.1414,0.1414,0.1399,0.1429,0.05825,0.1125,0.1935,0.2385,0.0,0.0,2116,True,,,False
ASG0000kq7,demo_stream,E03,2010-10-01T10:58:36,34.81540119001126,-2.430564061385425,ok,34.007511138916016,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.4031,0.4031,0.4031,0.4031,0.2212,0.2212,0.2212,0.2212,0.0469,0.0938,0.2205,0.2154,0.0,0.0,2116,True,,,False
ASG0000kro,demo_stream,E03,2010-10-03T05:59:26,34.81540119001126,-2.430564061385425,ok,34.007511138916016,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.4031,0.4031,0.4031,0.4031,0.2212,0.2212,0.2212,0.2212,0.0469,0.0938,0.2205,0.2154,0.0,0.0,2116,True,,,False
ASG0000vja,demo_stream,Q11,2010-10-30T12:56:32,35.0559924762818,-2.5926085479446948,ok,10.294229507446289,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3335,0.3335,0.3335,0.3335,0.1795,0.1795,0.1795,0.1795,0.0535,0.1008,0.2017,0.177,0.0,0.0,2116,True,,,False
ASG0000vry,demo_stream,G01,2010-11-05T17:22:44,34.85421909930834,-2.389449477928099,ok,67.96870422363281,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.11.tif,0.0,0.0,0.0,2010-11,2,2010-11-01,2010-11-17,0.39415,0.39415,0.3448,0.4435,0.20915,0.20915,0.1666,0.2517,0.0426,0.09095,0.2117,0.2067,0.0,0.0,2116,True,,,False
ASG0000zv5,demo_stream,G10,2010-09-23T08:39:12,34.85406557667009,-2.5699089497997956,ok,23.580875396728516,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.34165,0.34165,0.3335,0.3498,0.1785,0.1785,0.1763,0.1807,0.0501,0.09645,0.1964,0.185,0.0,0.0,2116,True,,,False
ASG0000zz8,demo_stream,G10,2010-10-09T12:59:24,34.85406557667009,-2.5699089497997956,ok,34.244869232177734,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2842,0.2842,0.2842,0.2842,0.1408,0.1408,0.1408,0.1408,0.0495,0.0997,0.1789,0.2039,0.0,0.0,2116,True,,,False
ASG000131d,demo_stream,H06,2010-10-10T11:53:36,34.87707923340478,-2.4926360321035275,ok,29.111757278442383,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2818,0.2818,0.2818,0.2818,0.1427,0.1427,0.1427,0.1427,0.0513,0.1032,0.1842,0.2212,0.0,0.0,2116,True,,,False
ASG00013hy,demo_stream,H09,2010-10-21T08:46:24,34.87640047200792,-2.5522799073062488,ok,34.244869232177734,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2287,0.2287,0.2287,0.2287,0.1244,0.1244,0.1244,0.1244,0.0607,0.1261,0.2009,0.2481,0.0,0.0,2116,True,,,False
ASG00014i3,demo_stream,H10,2010-09-23T13:53:14,34.87547734087396,-2.572834369821559,ok,23.580875396728516,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.3126,0.3126,0.2994,0.3258,0.1859,0.1859,0.1723,0.1995,0.06365,0.1256,0.2387,0.23485,0.0,0.0,2116,True,,,False
ASG00019oj,demo_stream,I06,2010-09-02T14:00:08,34.89682834097866,-2.4907991635766447,ok,38.94953918457031,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.26795,0.26795,0.2448,0.2911,0.13415,0.13415,0.12,0.1483,0.0494,0.1059,0.18365,0.2145,0.0,0.0,2116,True,,,False
ASG00019ox,demo_stream,I06,2010-09-04T15:23:28,34.89682834097866,-2.4907991635766447,ok,38.94953918457031,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.26795,0.26795,0.2448,0.2911,0.13415,0.13415,0.12,0.1483,0.0494,0.1059,0.18365,0.2145,0.0,0.0,2116,True,,,False
ASG0001e3v,demo_stream,J05,2010-10-24T08:37:12,34.91754002225952,-2.4708493599797396,ok,23.41825294494629,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2786,0.2786,0.2786,0.2786,0.1533,0.1533,0.1533,0.1533,0.0576,0.1178,0.2088,0.2453,0.0,0.0,2116,True,,,False
ASG0001e5y,demo_stream,J05,2010-10-31T14:08:22,34.91754002225952,-2.4708493599797396,ok,23.41825294494629,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2786,0.2786,0.2786,0.2786,0.1533,0.1533,0.1533,0.1533,0.0576,0.1178,0.2088,0.2453,0.0,0.0,2116,True,,,False
ASG0001ee9,demo_stream,J06,2010-09-17T12:19:36,34.915458977661764,-2.49282464132828,ok,29.060062408447266,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.33835,0.33835,0.3275,0.3492,0.1952,0.1952,0.1808,0.2096,0.0567,0.1163,0.2344,0.2168,0.0,0.0,2116,True,,,False
ASG0001g3h,demo_stream,K07,2010-10-20T06:35:40,34.93371876664782,-2.511822161948197,ok,22.21307373046875,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3446,0.3446,0.3446,0.3446,0.1968,0.1968,0.1968,0.1968,0.0543,0.1117,0.2292,0.2145,0.0,0.0,2116,True,,,False
ASG0001gw1,demo_stream,K08,2010-10-29T13:46:44,34.937919315482176,-2.5315002560947635,ok,22.21307373046875,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3194,0.3194,0.3194,0.3194,0.164,0.164,0.164,0.164,0.0528,0.0948,0.1838,0.1942,0.0,0.0,2116,True,,,False
ASG0001h74,demo_stream,K09,2010-09-06T14:31:28,34.938001714562596,-2.550596744712754,ok,22.67579460144043,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.28685,0.28685,0.2834,0.2903,0.1681,0.1681,0.1513,0.1849,0.06485,0.12435,0.22465,0.25765,0.0,0.0,2116,True,,,False
ASG0001hhu,demo_stream,K09,2010-09-22T17:38:10,34.938001714562596,-2.550596744712754,ok,22.67579460144043,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.28685,0.28685,0.2834,0.2903,0.1681,0.1681,0.1513,0.1849,0.06485,0.12435,0.22465,0.25765,0.0,0.0,2116,True,,,False
ASG0001hwa,demo_stream,K09,2010-10-05T09:46:40,34.938001714562596,-2.550596744712754,ok,24.085447311401367,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2535,0.2535,0.2535,0.2535,0.136,0.136,0.136,0.136,0.0604,0.1138,0.1911,0.2347,0.0,0.0,2116,True,,,False
ASG0001ka9,demo_stream,K12,2010-09-22T01:50:11,34.93513879372292,-2.6133884885243743,ok,16.89429473876953,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.26805,0.26805,0.264,0.2721,0.12955,0.12955,0.1261,0.133,0.05145,0.09595,0.16625,0.17215,0.0,0.0,2116,True,,,False
ASG0001lxc,demo_stream,L04,2010-09-19T23:35:58,34.95441319630152,-2.44993575579659,ok,33.71791076660156,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.36415,0.36415,0.3597,0.3686,0.223,0.223,0.2169,0.2291,0.0587,0.11915,0.2557,0.2176,0.0,0.0,2116,True,,,False
ASG0001s1z,demo_stream,L10,2010-10-21T16:21:00,34.956482179145944,-2.5658945947645773,ok,20.5045108795166,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3025,0.3025,0.3025,0.3025,0.1473,0.1473,0.1473,0.1473,0.0484,0.0929,0.1735,0.1924,0.0,0.0,2116,True,,,False
ASG0001ssu,demo_stream,L10,2010-10-25T22:51:22,34.956482179145944,-2.5658945947645773,ok,20.5045108795166,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3025,0.3025,0.3025,0.3025,0.1473,0.1473,0.1473,0.1473,0.0484,0.0929,0.1735,0.1924,0.0,0.0,2116,True,,,False
ASG0001vbr,demo_stream,M09,2010-10-07T12:10:10,34.97261973305877,-2.5480664558135113,ok,24.17132568359375,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.4019,0.4019,0.4019,0.4019,0.2231,0.2231,0.2231,0.2231,0.0506,0.0924,0.2166,0.1809,0.0,0.0,2116,True,,,False
ASG0001vqo,demo_stream,N04,2010-09-11T23:05:08,34.99571191837449,-2.450380918337386,ok,27.34158706665039,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.28495,0.28495,0.2385,0.3314,0.14405,0.14405,0.13,0.1581,0.05205,0.1027,0.18445,0.22185,0.5,0.0,2116,True,,,False
ASG0001wv8,demo_stream,N04,2010-10-26T14:06:30,34.99571191837449,-2.450380918337386,ok,25.050086975097656,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.2689,0.2689,0.2689,0.2689,0.127,0.127,0.127,0.127,0.0442,0.0992,0.1722,0.2282,0.0,0.0,2116,True,,,False
ASG0001ym4,demo_stream,N05,2010-09-23T11:22:00,34.99538148490959,-2.470001804581623,ok,27.34158706665039,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.3346,0.3346,0.2956,0.3736,0.2067,0.2067,0.1836,0.2298,0.0612,0.1308,0.26175,0.29585,0.5,0.0,2116,True,,,False
ASG0001z1w,demo_stream,N08,2010-09-17T02:07:02,34.995239465231066,-2.536629940790818,ok,22.210987091064453,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.23725,0.23725,0.2333,0.2412,0.13315,0.13315,0.1139,0.1524,0.0649,0.12785,0.2077,0.2291,0.0,0.0,2116,True,,,False
ASG00020d7,demo_stream,O05,2010-09-19T07:31:18,35.01410630913535,-2.469747383736886,ok,21.686716079711914,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.35025,0.35025,0.3163,0.3842,0.22565,0.22565,0.2053,0.246,0.06575,0.13185,0.2735,0.27585,0.5,0.0,2116,True,,,False
ASG000256u,demo_stream,P08,2010-11-08T03:06:22,35.035667096272235,-2.5308072908383896,ok,49.64792251586914,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.11.tif,0.0,0.0,0.0,2010-11,2,2010-11-01,2010-11-17,0.2736,0.2736,0.2599,0.2873,0.15345,0.15345,0.12,0.1869,0.06025,0.12095,0.21355,0.21595,0.0,0.0,2116,True,,,False
ASG00025gh,demo_stream,Q10,2010-10-29T06:29:42,35.05612034943986,-2.571478822510019,ok,10.294229507446289,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.279,0.279,0.279,0.279,0.1477,0.1477,0.1477,0.1477,0.0566,0.1081,0.1918,0.1956,0.0,0.0,2116,True,,,False
ASG000283p,demo_stream,R08,2010-01-03T17:23:21,35.07588611962863,-2.530336385881697,ok,94.63980865478516,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.01.tif,0.0,0.0,0.0,2010-01,2,2010-01-01,2010-01-17,0.7205,0.7205,0.7193,0.7217,0.50415,0.50415,0.4751,0.5332,0.0322,0.0566,0.3486,0.09665,0.0,0.0,2116,True,,,False
ASG00029it,demo_stream,R12,2010-10-30T12:29:00,35.076115775169676,-2.611299843939813,ok,9.963048934936523,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.278,0.278,0.278,0.278,0.1482,0.1482,0.1482,0.1482,0.0573,0.1093,0.1935,0.1945,0.0,0.0,2116,True,,,False
ASG00029kj,demo_stream,R12,2010-10-31T07:04:30,35.076115775169676,-2.611299843939813,ok,9.963048934936523,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.278,0.278,0.278,0.278,0.1482,0.1482,0.1482,0.1482,0.0573,0.1093,0.1935,0.1945,0.0,0.0,2116,True,,,False
ASG0002bi5,demo_stream,S09,2010-10-22T12:51:54,35.09547328713851,-2.5520666208677336,ok,10.294229507446289,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3428,0.3428,0.3428,0.3428,0.1887,0.1887,0.1887,0.1887,0.0535,0.1036,0.2117,0.1782,0.0,0.0,2116,True,,,False
ASG0002f5i,demo_stream,J12,2010-10-17T15:12:30,34.91039166338857,-2.6167088292777048,ok,22.878801345825195,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.3195,0.3195,0.3195,0.3195,0.16,0.16,0.16,0.16,0.049,0.0939,0.1821,0.1744,0.0,0.0,2116,True,,,False
ASG0002fsg,demo_stream,C07,2010-10-16T14:04:06,34.774618428762,-2.510059557821654,ok,33.30088424682617,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.4241,0.4241,0.4241,0.4241,0.2475,0.2475,0.2475,0.2475,0.0485,0.0993,0.2456,0.2379,0.0,0.0,2116,True,,,False
ASG0002g0z,demo_stream,C07,2010-10-16T22:19:34,34.774618428762,-2.510059557821654,ok,33.30088424682617,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.4241,0.4241,0.4241,0.4241,0.2475,0.2475,0.2475,0.2475,0.0485,0.0993,0.2456,0.2379,0.0,0.0,2116,True,,,False
ASG0002gah,demo_stream,C07,2010-10-17T09:50:40,34.774618428762,-2.510059557821654,ok,33.30088424682617,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.10.tif,0.0,0.0,0.0,2010-10,1,2010-10-16,2010-10-16,0.4241,0.4241,0.4241,0.4241,0.2475,0.2475,0.2475,0.2475,0.0485,0.0993,0.2456,0.2379,0.0,0.0,2116,True,,,False
ASG0002h7o,demo_stream,E05,2010-08-20T11:31:56,34.81395125516813,-2.4688253087265943,ok,1.0594699382781982,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.2746,0.2746,0.2623,0.2869,0.16435,0.16435,0.1567,0.172,0.0652,0.1402,0.2455,0.22825,0.0,0.0,2116,True,,,False
ASG0002htk,demo_stream,E06,2010-09-06T13:21:10,34.813629661380055,-2.4901663076832534,ok,39.008426666259766,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.09.tif,0.0,0.0,0.0,2010-09,2,2010-09-14,2010-09-30,0.38375,0.38375,0.3612,0.4063,0.20285,0.20285,0.1903,0.2154,0.0461,0.0923,0.20685,0.22235,0.0,0.0,2116,True,,,False
ASG0002i35,demo_stream,E08,2010-08-10T11:42:20,34.81534194058064,-2.5322120140953532,ok,1.4949297904968262,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.22415,0.22415,0.1762,0.2721,0.0868,0.0868,0.0707,0.1029,0.0436,0.0753,0.1185,0.1753,0.5,0.0,2116,True,,,False
ASG0002i3e,demo_stream,E08,2010-08-10T12:44:40,34.81534194058064,-2.5322120140953532,ok,1.4949297904968262,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.22415,0.22415,0.1762,0.2721,0.0868,0.0868,0.0707,0.1029,0.0436,0.0753,0.1185,0.1753,0.5,0.0,2116,True,,,False
ASG0002i7f,demo_stream,E08,2010-08-14T11:58:28,34.81534194058064,-2.5322120140953532,ok,1.4949297904968262,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.22415,0.22415,0.1762,0.2721,0.0868,0.0868,0.0707,0.1029,0.0436,0.0753,0.1185,0.1753,0.5,0.0,2116,True,,,False
ASG0002i8q,demo_stream,E08,2010-08-14T13:34:00,34.81534194058064,-2.5322120140953532,ok,1.4949297904968262,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.22415,0.22415,0.1762,0.2721,0.0868,0.0868,0.0707,0.1029,0.0436,0.0753,0.1185,0.1753,0.5,0.0,2116,True,,,False
ASG0002ikw,demo_stream,E08,2010-08-19T13:24:24,34.81534194058064,-2.5322120140953532,ok,1.4949297904968262,data/raw/environment/chirps_v3_monthly_africa/2010/chirps-v3.0.2010.08.tif,0.0,0.0,0.0,2010-08,2,2010-08-13,2010-08-29,0.22415,0.22415,0.1762,0.2721,0.0868,0.0868,0.0707,0.1029,0.0436,0.0753,0.1185,0.1753,0.5,0.0,2116,True,,,False
